Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1002004;ZSTO;CAMISA JEAN T.46 C LOGO;MR01;0368;A1G3C9;V1;4;HB;8;8;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;137032,32;;;ROPA;INDUMENTARIA;8-VARIOS;0,49;0;KG;640;30;137032,32;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1002005;ZSTO;CAMISA JEAN T.48 C LOGO;MR01;0368;A1G3C5;V1;4;HB;8;3;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;58133,46;;;ROPA;INDUMENTARIA;8-VARIOS;0,495;0;KG;2378;30;58133,47;;1;;;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1002006;ZSTO;CAMISA JEAN T.50 C LOGO;MR01;0368;A1G3C6;V1;5;HB;8;3;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;49330,17;;;ROPA;INDUMENTARIA;8-VARIOS;0,617;0;KG;2970;30;49330,18;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002007;ZSTO;CAMISA JEAN T.52 C LOGO;MR01;0368;A1G3C7;V1;3;HB;6;4;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;46043,72;;;ROPA;INDUMENTARIA;8-VARIOS;0,525;0;KG;635,5;30;46043,71;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002008;ZSTO;CAMISA JEAN T.54 C LOGO;MR01;0368;A1G3C7;V1;2;HB;3;2;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;20698,84;;;ROPA;INDUMENTARIA;8-VARIOS;0,614;0;KG;3600;30;20698,85;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002011;ZSTO;PANTALON JEAN T.38;MR01;0368;A1G2C5;V1;1;HB;2;2;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;2739,7;;;ROPA;INDUMENTARIA;8-VARIOS;0,656;0;KG;3240;15;2739,69;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002012;ZSTO;PANTALON JEAN T.40;MR01;0368;A1G2C1;V1;2;HB;3;2;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;31146,34;;;ROPA;INDUMENTARIA;8-VARIOS;0,63;0;KG;2544;15;31146,34;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1002013;ZSTO;PANTALON JEAN T.42;MR01;0368;A1G2C2;V1;8;HB;12;6;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;94785,84;;;ROPA;INDUMENTARIA;8-VARIOS;0,627;0;KG;3224;15;94785,87;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002014;ZSTO;PANTALON JEAN T.44;MR01;0368;A1G2C3;V1;8;HB;12;8;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;132237,04;;;ROPA;INDUMENTARIA;8-VARIOS;0,69;0;KG;2725;15;132237,06;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002015;ZSTO;PANTALON JEAN T.46;MR01;0368;A1G2C4;V1;7;HB;11;7;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;109131,96;;;ROPA;INDUMENTARIA;8-VARIOS;0,689;0;KG;2808;15;109131,99;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1002016;ZSTO;PANTALON JEAN T.48;MR01;0368;A1G2C6;V1;6;HB;10;3;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;57258,78;;;ROPA;INDUMENTARIA;8-VARIOS;0,725;0;KG;2970;15;57258,78;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002017;ZSTO;PANTALON JEAN T.50;MR01;0368;A1G1C1;V1;4;HB;8;6;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;113893,62;;;ROPA;INDUMENTARIA;8-VARIOS;0,751;0;KG;4107,5;21;113893,65;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002018;ZSTO;PANTALON JEAN T.52;MR01;0368;A1G1C2;V1;4;HB;8;8;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;138342,96;;;ROPA;INDUMENTARIA;8-VARIOS;0,761;0;KG;3850;21;138342,99;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002019;ZSTO;PANTALON JEAN T.54;MR01;0368;A1G1C3;V1;3;HB;6;4;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;50095,6;;;ROPA;INDUMENTARIA;8-VARIOS;0,788;0;KG;6264;21;50095,61;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1002020;ZSTO;PANTALON JEAN T.56;MR01;0368;A1G1C4;V1;2;HB;3;5;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;39846,95;;;ROPA;INDUMENTARIA;8-VARIOS;0,795;0;KG;3348;21;39846,96;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1002056;ZSTO;CAMPERA ABRIGO T. S ROJA CON LOGO;MR01;0368;A1G4C1;V1;5;HB;8;11;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;495735,57;No aplica;CON REFLECTIVO T. S;ROPA;INDUMENTARIA;8-VARIOS;0,85;0;KG;13468;30;495735,55;;;;;1;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002057;ZSTO;CAMPERA ABRIGO T. M ROJA CON LOGO;MR01;0368;A1G4C2;V1;5;HB;8;6;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;305502,54;No aplica;CON REFLECTIVO T. M;ROPA;INDUMENTARIA;8-VARIOS;0,841;0;KG;17640;30;305502,52;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002058;ZSTO;CAMPERA ABRIGO T. L ROJA CON LOGO;MR01;0368;A1G4C3;V1;5;HB;8;8;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;366848,64;No aplica;CON REFLECTIVO T. L;ROPA;INDUMENTARIA;8-VARIOS;0,926;0;KG;12000;30;366848,66;;;;1;;;1;;
