CLIENTE;NRO. VA01/VA21;POS VA01/VA21;CLASE DE DOC;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;FECHA ENTREGA ESPERADA;MES ENTREGA;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;FECHA RECEPCION;ALMACEN RECEPCION 1;NRO POSICION RECEPCION 1;Q RECEP. DE OC;FECHA SELLO;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;OPERADOR PICKING;FECHA PICKING;FECHA CONTABILIZACION VL;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA DE CARGA;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;FECHA CUMPLIMIENTO FINAL UNIFICADA;COMPROMETIDOS;ENTREGADOS;NO ENTREGADOS;NO ENTREGADOS CRITICOS;NO ENTREGADOS NO CRITICOS;ENTREGADOS AT;ENTREGADOS AT CRITICOS;ENTREGADOS AT NO CRITICOS;ENTREGADOS FT;ENTREGADOS FT CRITICOS;ENTREGADOS FT NO CRITICOS;DIAS DE DEMORA;CLASIFICACION;Año;Personalizado;Valor objetivo cumpli;Demora Max Objetivo;Demora-7;DemoraMaxObjetivo;CLASIFICACION 2;Columna1;Columna2;CONCATENA;BUSCA EL ALMACEN ;Vacío
00223 Comp Amb Santa Fe;1000059336;170;ZPAS;Filtros;;0;;;;PBASILIO;1003223;FILTRO TRAMPA DE AGUA;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;18;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1003223;0;1003223223;223;
00223 Comp Amb Santa Fe;1000059336;180;ZPAS;Filtros;;0;;;;PBASILIO;1003224;7ILTRO DE UREA A BOMBA;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;19;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1003224;0;1003224223;223;
00223 Comp Amb Santa Fe;1000059336;190;ZPAS;Filtros;;0;;;;PBASILIO;1003226;FILTRO TANQUE DE UREA;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;20;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1003226;0;1003226223;223;
00223 Comp Amb Santa Fe;1000059336;200;ZPAS;Filtros;;0;;;;PBASILIO;1003244;FILTRO ACEITE MOTOR;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;21;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1003244;0;1003244223;223;
00223 Comp Amb Santa Fe;1000059336;210;ZPAS;Filtros;;0;;;;PBASILIO;1003246;FILTRO DE TANQUE HIDRAULICO;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;22;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1003246;0;1003246223;223;
00223 Comp Amb Santa Fe;1000059336;220;ZPAS;Filtros;;0;;;;PBASILIO;1003247;FILTRO DE VENTEO TANQUE HIDRAULICO;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;23;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1003247;0;1003247223;223;
00223 Comp Amb Santa Fe;1000059336;230;ZPAS;Filtros;;0;;;;PBASILIO;1004265;KIT DE 6 MUESTRAS DE ACEITE CON MANGUERA;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;24;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1004265;0;1004265223;223;
00223 Comp Amb Santa Fe;1000059487;10;ZPAN;Cartucho Inspeccion;;0;;;;PBASILIO;1012722;CARTUCHO LASER TONER NEGRO MOD L2320D;4;Materiales genericos;CUMPLIDO;MR01;11;2/1/2025;21/1/2025;enero;10112426;10;1;2/1/2025;3/1/2025;C17;4500090884;10;2200;1;JESPARZA;8/1/2025;8/1/2025;21/1/2025;17/1/2025;C17;JAR COMPUTACION SRL;4;0;0;4;5000122262;21/1/2025;2001;1;3;20/1/2025;FGORGONA;;8000063100;4;1;FGORGONA;21/1/2025;22/1/2025;8452;1 BULTO 223;ALANDAVIDEA;21/1/2025;4900294533;4;PBASILIO;22/1/2025;22/1/2025;22/1/2025;1;1;0;0;0;0;0;0;1;0;1;1;SEDE;2025;Período Contable;0,75;7;-6;7;SEDE;#N/D;#N/D;1012722223;223;
00223 Comp Amb Santa Fe;1000059494;10;ZPAS;Aceite;;0;;;;PBASILIO;1001790;ACEITE 15W40  X 205L;1;Materiales Stock;CUMPLIDO;MR01;11;2/1/2025;21/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;1;0;;;;8000062398;1;2;PAPPELLA;7/1/2025;8/1/2025;8304;1 223 wp;JMORENO;8/1/2025;4900290857;1;PBASILIO;8/1/2025;8/1/2025;8/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1001790;0;1001790223;223;
00223 Comp Amb Santa Fe;1000059688;10;ZPAN;30025306;;0;;;;PBASILIO;1015947;AT316508-VENTILADOR;1;Materiales genericos;CUMPLIDO;MR01;11;7/1/2025;27/1/2025;enero;10112757;10;1;7/1/2025;7/1/2025;C03;4500090964;10;2001;1;WVENTURINI;9/1/2025;9/1/2025;27/1/2025;27/1/2025;C03;AGRONORTE S.R.L.;1;0;0;1;5000121758;14/1/2025;2001;1;1;14/1/2025;JMORENO;;8000062730;1;1;JMORENO;14/1/2025;16/1/2025;8383;1 223 WP;PMATTIUSSI;15/1/2025;4900293310;1;PBASILIO;17/1/2025;17/1/2025;17/1/2025;1;1;0;0;0;1;0;1;0;0;0;;EQUIPOS;2025;Período Contable;0,75;7;;7;COMPRAS EQUIPOS REP;#N/D;#N/D;1015947223;223;
