Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
2;02-MENOR A PUNTO DE PEDIDO;1016971;ZSSD;NOTAS ADHESIVAS (POST IT) 38X54 MM;MM01;0376;A2;V1;24;HB;48;21;0;0;0;0;C17;INSUMOS A;12991,23;;MÚLT. 12U;LIBRERIA;PAPEL;?;0;0;KG;0;0;12991,25;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016972;ZSSD;MAZA MINERO 5KG;MM01;0376;L1;V1;3;HB;5;3;0;0;0;0;C13;FERRETERÍA MM01;162590,25;;;FERRETERIA;HERRAMIENTA MANUAL;?;0;0;KG;0;0;162590,26;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016973;ZSSD;MAZA MINERO 3 KG;MM01;0376;L1;V1;3;HB;6;4;0;0;0;0;C13;FERRETERÍA MM01;124711,96;;;FERRETERIA;HERRAMIENTA MANUAL;?;0;0;KG;0;0;124711,98;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016974;ZSSD;MARTILLO BOLITA 350 GR;MM01;0376;L1;V1;1;HB;3;2;0;0;0;0;C13;FERRETERÍA MM01;12560,2;;;FERRETERIA;HERRAMIENTA;?;0;0;KG;0;0;12560,19;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016975;ZSSD;MARCADOR P PIZARRA ROJO;MM01;0376;A2;V1;10;HB;30;21;0;0;0;0;C17;INSUMOS A;12378,03;;MÚLT. 10U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;12377,95;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016976;ZSSD;MARCADOR P PIZARRA NEGRO;MM01;0376;A2;V1;10;HB;30;22;0;0;0;0;C17;INSUMOS A;13909,06;;MÚLT. 10U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;13909,06;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016977;ZSSD;MARCADOR P PIZARRA AZUL;MM01;0376;A2;V1;10;HB;30;19;0;0;0;0;C17;INSUMOS A;11027,98;;MÚLT. 10U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;11027,96;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1016982;ZSSD;FOLIO A4 ST X100;MM01;0376;B2;V1;10;HB;20;8;0;0;0;0;C17;INSUMOS A;34000,08;;;LIBRERIA;PAPEL;?;0;0;KG;0;0;34000,04;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016987;ZSSD;CORTA FIERRO;MM01;0376;G1;V1;5;HB;10;6;0;0;0;0;C13;FERRETERÍA MM01;35662,74;;;FERRETERIA;INSUMOS;?;0;0;KG;0;0;35662,71;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016988;ZSSD;CINTA METRICA 3MT;MM01;0376;N2;V1;5;HB;10;8;0;0;0;0;C13;FERRETERÍA MM01;32826,64;;;FERRETERIA;INSUMOS;?;0;0;KG;0;0;32826,67;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1016995;ZSSD;BROCHES FLEX CON FILO N50 X1000;MM01;0376;A2;V1;5;HB;15;4;0;0;0;0;C17;INSUMOS A;6449,1;;;LIBRERIA;LIBRERIA;?;0;0;KG;0;0;1719,77;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016997;ZSSD;BOLIGRAFO TRAZO GRUESO ROJO;MM01;0376;A2;V1;50;HB;200;137;0;0;0;0;C17;INSUMOS A;18944,36;;MÚLT. 50U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;18943,79;;;;1;;;1;;
